task,shift_type,policy,median_aurc,median_excess_aurc,median_spearman,median_coverage
expt_gap,cluster,descriptor_distance,1.1878954594195887,0.6184016419594396,0.06448747004055465,0.0
expt_gap,cluster,oracle_error,0.5832476717635724,0.0,1.0,0.9876543209876544
expt_gap,cluster,quantile_width,1.05885674502841,0.4945798632488331,0.3889614885266631,0.7451072417515371
expt_gap,cluster,random_ranking,1.1922478542739463,0.5880214874443226,-0.0017905265468041,0.0
expt_gap,cluster,rf_distance_hybrid,1.0913154195420653,0.6117809650707728,0.0772605846967508,0.5471588958725424
expt_gap,cluster,rf_ensemble_std,1.1101242843480126,0.5912931704630395,0.0265445211970729,0.9978172117518749
expt_gap,element,descriptor_distance,0.8621322464073973,0.5721304505867549,-0.055763334866187744,0.0421779141104294
expt_gap,element,oracle_error,0.29167934291583897,0.0,1.0,0.9677830940988836
expt_gap,element,quantile_width,0.8662338807911387,0.384313171828105,0.40099982232914033,0.9012364631014849
expt_gap,element,random_ranking,0.8730268263944936,0.5792603918461063,0.0042434642265609,0.0
expt_gap,element,rf_distance_hybrid,0.7927007736687629,0.5004040248309394,0.3081996303915351,0.99211071946921
expt_gap,element,rf_ensemble_std,0.8197545294318829,0.5235748509055784,0.35894221986473235,0.9923312883435584
log_kvrh,cluster,descriptor_distance,0.2365356807526389,0.12628981216590004,0.20325237533415366,0.9751266697374482
log_kvrh,cluster,oracle_error,0.10493939649594905,0.0,1.0,0.9955916052510364
log_kvrh,cluster,quantile_width,0.2385763599876247,0.1271877486610774,0.19263272696261208,1.0
log_kvrh,cluster,random_ranking,0.23842318945178587,0.1439185469779791,-0.0074529515029595,0.9995393827729157
log_kvrh,cluster,rf_distance_hybrid,0.22417092167915809,0.1118131674707146,0.3247851344332895,0.9109811146936896
log_kvrh,cluster,rf_ensemble_std,0.22174752313560395,0.11205386264554135,0.28808804855523806,0.9970059880239521
log_kvrh,element,descriptor_distance,0.11740230714802335,0.0705022406697893,0.08909634510975915,1.0
log_kvrh,element,oracle_error,0.052233715399049696,0.0,1.0,1.0
log_kvrh,element,quantile_width,0.12057040794964544,0.06313685705334796,0.12375188768922044,1.0
log_kvrh,element,random_ranking,0.13223797546658078,0.07757915989203695,0.00461955762588545,1.0
log_kvrh,element,rf_distance_hybrid,0.09864078234216181,0.05201391569367905,0.1970362940540529,1.0
log_kvrh,element,rf_ensemble_std,0.10883868991519169,0.054333286170463804,0.1624660753843289,1.0
