task,shift_type,holdout,repeat,policy,epsilon,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,risk_breach,coverage_failure,operational_failure
log_kvrh,cluster,C3,3,geometry_descriptor_distance,0.15,True,1.0,0.1025576159096729,0.99375,0.1238554513866733,-0.0261445486133267,False,False,False
log_kvrh,cluster,C3,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.101835732019649,0.98,0.1224491162133949,-0.027550883786605,False,False,False
log_kvrh,cluster,C3,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1013661429402176,0.99875,0.1240490693545734,-0.0259509306454265,False,False,False
log_kvrh,cluster,C3,4,geometry_descriptor_distance,0.15,True,1.0,0.1045313241556668,0.86125,0.1188902608858865,-0.0311097391141134,False,False,False
log_kvrh,cluster,C3,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1053089549890058,0.97,0.1223985888246869,-0.027601411175313,False,False,False
log_kvrh,cluster,C3,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1049259978936058,0.9975,0.1249257109477143,-0.0250742890522856,False,False,False
log_kvrh,element,Al,0,geometry_descriptor_distance,0.15,True,1.0,0.1062148570577721,1.0,0.0764009794400455,-0.0735990205599544,False,False,False
log_kvrh,element,Al,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1060761259923565,1.0,0.0764009794400455,-0.0735990205599544,False,False,False
log_kvrh,element,Al,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1065322531472426,1.0,0.0764009794400455,-0.0735990205599544,False,False,False
log_kvrh,element,Al,1,geometry_descriptor_distance,0.15,True,1.0,0.1072765328017491,1.0,0.0759939708240614,-0.0740060291759385,False,False,False
log_kvrh,element,Al,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.1064430740486968,1.0,0.0759939708240614,-0.0740060291759385,False,False,False
log_kvrh,element,Al,1,geometry_rf_ensemble_std,0.15,True,1.0,0.1070174732603205,1.0,0.0759939708240614,-0.0740060291759385,False,False,False
log_kvrh,element,Al,2,geometry_descriptor_distance,0.15,True,1.0,0.1082993369722421,1.0,0.0780476983401383,-0.0719523016598616,False,False,False
log_kvrh,element,Al,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1084557627637688,1.0,0.0780476983401383,-0.0719523016598616,False,False,False
log_kvrh,element,Al,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1081950519845669,1.0,0.0780476983401383,-0.0719523016598616,False,False,False
log_kvrh,element,Al,3,geometry_descriptor_distance,0.15,True,1.0,0.1078234061986907,1.0,0.0763714465973272,-0.0736285534026727,False,False,False
log_kvrh,element,Al,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.1065813649069488,1.0,0.0763714465973272,-0.0736285534026727,False,False,False
log_kvrh,element,Al,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1077178784286749,0.996078431372549,0.0756010163877652,-0.0743989836122347,False,False,False
log_kvrh,element,Al,4,geometry_descriptor_distance,0.15,True,1.0,0.1033220714688911,1.0,0.0780345390338756,-0.0719654609661243,False,False,False
log_kvrh,element,Al,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1031643507035329,1.0,0.0780345390338756,-0.0719654609661243,False,False,False
log_kvrh,element,Al,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1034811579802897,1.0,0.0780345390338756,-0.0719654609661243,False,False,False
log_kvrh,element,Cu,0,geometry_descriptor_distance,0.15,True,1.0,0.0987274169127986,1.0,0.1166782789462101,-0.0333217210537898,False,False,False
log_kvrh,element,Cu,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.0995606879246211,1.0,0.1166782789462101,-0.0333217210537898,False,False,False
log_kvrh,element,Cu,0,geometry_rf_ensemble_std,0.15,True,1.0,0.0998740601945828,1.0,0.1166782789462101,-0.0333217210537898,False,False,False
log_kvrh,element,Cu,1,geometry_descriptor_distance,0.15,True,1.0,0.1049231063838519,1.0,0.1151727022655031,-0.0348272977344968,False,False,False
log_kvrh,element,Cu,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.1045739636373072,1.0,0.1151727022655031,-0.0348272977344968,False,False,False
log_kvrh,element,Cu,1,geometry_rf_ensemble_std,0.15,True,1.0,0.104463019437571,1.0,0.1151727022655031,-0.0348272977344968,False,False,False
log_kvrh,element,Cu,2,geometry_descriptor_distance,0.15,True,1.0,0.1001638221674266,1.0,0.1151067074226009,-0.034893292577399,False,False,False
log_kvrh,element,Cu,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1002030817133843,1.0,0.1151067074226009,-0.034893292577399,False,False,False
log_kvrh,element,Cu,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1005138369011788,1.0,0.1151067074226009,-0.034893292577399,False,False,False
log_kvrh,element,Cu,3,geometry_descriptor_distance,0.15,True,1.0,0.0986220342955199,1.0,0.1149534378346557,-0.0350465621653442,False,False,False
log_kvrh,element,Cu,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.0980759142733039,1.0,0.1149534378346557,-0.0350465621653442,False,False,False
log_kvrh,element,Cu,3,geometry_rf_ensemble_std,0.15,True,1.0,0.0988232549261439,1.0,0.1149534378346557,-0.0350465621653442,False,False,False
log_kvrh,element,Cu,4,geometry_descriptor_distance,0.15,True,1.0,0.1041557435360059,1.0,0.1169514436115188,-0.0330485563884811,False,False,False
log_kvrh,element,Cu,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.104110746043894,1.0,0.1169514436115188,-0.0330485563884811,False,False,False
log_kvrh,element,Cu,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1041242568904901,1.0,0.1169514436115188,-0.0330485563884811,False,False,False
log_kvrh,element,Li,0,geometry_descriptor_distance,0.15,True,1.0,0.1068333987598571,1.0,0.2285336816329494,0.0785336816329494,True,False,True
log_kvrh,element,Li,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1069813040500165,1.0,0.2285336816329494,0.0785336816329494,True,False,True
log_kvrh,element,Li,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1070051477972293,1.0,0.2285336816329494,0.0785336816329494,True,False,True
log_kvrh,element,Li,1,geometry_descriptor_distance,0.15,True,1.0,0.1000754602183813,1.0,0.2302278487555042,0.0802278487555042,True,False,True
log_kvrh,element,Li,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.0992668768741449,1.0,0.2302278487555042,0.0802278487555042,True,False,True
log_kvrh,element,Li,1,geometry_rf_ensemble_std,0.15,True,1.0,0.0996575056673182,1.0,0.2302278487555042,0.0802278487555042,True,False,True
log_kvrh,element,Li,2,geometry_descriptor_distance,0.15,True,1.0,0.1102285011172258,1.0,0.2344959729362487,0.0844959729362487,True,False,True
