task,policy,attempts,constructed,violations,median_risk_violation,median_ood_coverage,median_ood_spearman,violation_rate_given_constructed
expt_gap,descriptor_distance,40,23,15,0.986262962232388,0.0,-0.07115764973988915,0.6521739130434783
expt_gap,ensemble_std,40,40,40,0.2556609566492862,0.9945652173913044,0.41362868908970973,1.0
expt_gap,equal_rank_hybrid,40,40,30,0.23097715166944593,0.6510869565217392,0.30296597141175774,0.75
log_kvrh,descriptor_distance,50,41,40,0.0968812422227868,0.9786839666357738,0.12500929826224785,0.975609756097561
log_kvrh,ensemble_std,50,50,50,0.09620205182080871,0.9717535299569318,0.2011120343857135,1.0
log_kvrh,equal_rank_hybrid,50,50,46,0.09408030294405251,0.8595741060512484,0.16360819656885026,0.92
