task,shift_type,holdout,repeat,policy_geometry,epsilon_geometry,policy_constructed_geometry,calibration_coverage_geometry,calibration_ucb95_geometry,ood_coverage_geometry,ood_retained_mae_geometry,risk_violation_geometry,risk_breach_geometry,coverage_failure_geometry,operational_failure_geometry,baseline_policy,seed,policy_composition,epsilon_composition,primary_tolerance,policy_constructed_composition,calibration_coverage_composition,calibration_ucb95_composition,ood_coverage_composition,ood_retained_mae_composition,risk_violation_composition,risk_breach_composition,coverage_failure_composition,operational_failure_composition,ood_spearman,ood_aurc,ood_excess_aurc,shift_median_distance,shift_p90_distance,fraction_beyond_train_p99,element_novelty_fraction,delta_policy_constructed,delta_ood_coverage,delta_ood_retained_mae,delta_risk_violation,delta_operational_failure
log_kvrh,cluster,C1,0,geometry_descriptor_distance,0.15,True,1.0,0.1294044528204266,0.8018880124143282,0.2113303863838935,0.0613303863838935,True,False,True,descriptor_distance,20260724,descriptor_distance,0.15,True,False,0.0,,0.0,,,,False,False,0.2604745809384439,0.3010138116275049,0.1345465422763954,9.118494362088745,14.723227999410796,0.3904047588258114,0.0,1.0,0.8018880124143282,,,1.0
log_kvrh,cluster,C1,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1308216646160448,0.962239751713436,0.22240295453061,0.07240295453061,True,False,True,rf_distance_hybrid,20260724,rf_distance_hybrid,0.15,True,True,0.8201320132013201,0.1497676571615549,0.1700504332083279,0.2281747740010189,0.0781747740010189,True,True,True,0.3586450033768159,0.2835059976073442,0.1170387282562346,9.118494362088745,14.723227999410796,0.3904047588258114,0.0,0.0,0.7921893185051081,-0.005771819470408918,-0.00577181947040889,0.0
log_kvrh,cluster,C1,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1291835659644939,0.9972843657054185,0.2262777886056806,0.0762777886056806,True,False,True,rf_ensemble_std,20260724,rf_ensemble_std,0.15,True,True,0.8993399339933993,0.1472887325031682,0.6776154144575197,0.3236327008632538,0.1736327008632538,True,False,True,0.313907023029933,0.2946335121102594,0.1281662427591499,9.118494362088745,14.723227999410796,0.3904047588258114,0.0,0.0,0.31966895124789874,-0.0973549122575732,-0.0973549122575732,0.0
log_kvrh,cluster,C1,1,geometry_descriptor_distance,0.15,True,1.0,0.1385613610426583,0.8206388206388207,0.2145127947382427,0.0645127947382427,True,False,True,descriptor_distance,20260725,descriptor_distance,0.15,True,False,0.0,,0.0,,,,False,False,0.3056701169374287,0.296589581456733,0.1257386935494049,8.98622224667053,14.899079652236312,0.4478210267683952,0.0,1.0,0.8206388206388207,,,1.0
log_kvrh,cluster,C1,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.1391480146605334,0.966765808871072,0.2289339272512341,0.0789339272512341,True,False,True,rf_distance_hybrid,20260725,rf_distance_hybrid,0.15,True,True,0.8198347107438017,0.1492670382191165,0.1444458812879865,0.2209472666974981,0.0709472666974981,True,True,True,0.3647173764692563,0.2835533797694294,0.1127024918621014,8.98622224667053,14.899079652236312,0.4478210267683952,0.0,0.0,0.8223199275830855,0.007986660553736008,0.007986660553736008,0.0
log_kvrh,cluster,C1,1,geometry_rf_ensemble_std,0.15,True,1.0,0.1393052517821804,0.9997413681624208,0.2321428997459797,0.0821428997459797,True,False,True,rf_ensemble_std,20260725,rf_ensemble_std,0.15,True,True,0.8793388429752066,0.1497259024425459,0.7822319927583086,0.334643527989534,0.184643527989534,True,False,True,0.2847661476039865,0.2978250755047397,0.1269741875974116,8.98622224667053,14.899079652236312,0.4478210267683952,0.0,0.0,0.2175093754041122,-0.1025006282435543,-0.10250062824355431,0.0
log_kvrh,cluster,C1,2,geometry_descriptor_distance,0.15,True,1.0,0.1414756614420872,0.9784042415621363,0.211825929410876,0.061825929410876,True,False,True,descriptor_distance,20260726,descriptor_distance,0.15,True,True,0.2604501607717042,0.1453430823074691,0.0007758955127376,0.2744007017786174,0.1244007017786174,True,True,True,0.2693359502624722,0.2715617111853711,0.1268409307823952,9.188378359738744,15.2390548911466,0.466442519074098,0.0,0.0,0.9776283460493987,-0.06257477236774142,-0.0625747723677414,0.0
log_kvrh,cluster,C1,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1437523865887858,0.9627570153885944,0.2111560552870629,0.0611560552870629,True,False,True,rf_distance_hybrid,20260726,rf_distance_hybrid,0.15,True,True,0.639871382636656,0.1483607617484797,0.0460364670890986,0.2018201640856511,0.0518201640856511,True,True,True,0.3439959693998413,0.2552370623043097,0.1105162819013338,9.188378359738744,15.2390548911466,0.466442519074098,0.0,0.0,0.9167205482994958,0.009335891201411817,0.009335891201411803,0.0
log_kvrh,cluster,C1,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1426138898603572,1.0,0.2151925252429279,0.0651925252429279,True,False,True,rf_ensemble_std,20260726,rf_ensemble_std,0.15,True,True,0.819935691318328,0.1494439629181596,0.6968834863571706,0.2857482796440824,0.1357482796440824,True,False,True,0.2972390843179324,0.2642853466995375,0.1195645662965616,9.188378359738744,15.2390548911466,0.466442519074098,0.0,0.0,0.30311651364282943,-0.0705557544011545,-0.0705557544011545,0.0
log_kvrh,cluster,C1,3,geometry_descriptor_distance,0.15,True,1.0,0.1324700102412594,0.7956808483124272,0.1961302131219981,0.0461302131219981,True,False,True,descriptor_distance,20260727,descriptor_distance,0.15,True,False,0.0,,0.0,,,,False,False,0.2509069139907911,0.2368491430548477,0.1146120418139988,9.140138899660988,15.129746478179433,0.4066985645933014,0.0,1.0,0.7956808483124272,,,1.0
