task,holdout_family,repeat,seed,split_hash,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,threshold,calibration_coverage,calibration_mae,calibration_mae_ucb95,ood_mae_all,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,calibration_aurc,ood_aurc
expt_gap,chalcogenide,0,20260724,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,0.7911430742836737,0.9591836734693877,0.44337619485390534,0.4887595648802359,0.7818111467510123,0.9971811134601832,0.7817415034720254,0.2817415034720254,0.16305003176593091,0.1261185632592893,0.7323028243321679
expt_gap,chalcogenide,0,20260724,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,False,,0.0,,,0.7818111467510123,0.0,,,-0.06017384054885879,0.5667756756736021,0.7420127357211018
expt_gap,chalcogenide,0,20260724,31bb5a7b5243bd63,equal_rank_hybrid,0.5,2548,637,1419,True,0.7660910518053375,0.9199372056514914,0.43832604313964,0.48721477520038897,0.7818111467510123,0.3382663847780127,0.781768975765843,0.28176897576584303,0.11141583908560829,0.24222507733919593,0.7148335539616653
expt_gap,chalcogenide,1,20260725,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,0.6033560459943733,0.9199372056514914,0.44628988384904156,0.4949810782932575,0.8195574395888242,0.9844961240310077,0.8215890190885927,0.3215890190885927,-0.05209389275268795,0.16585285634265107,0.859425742527504
expt_gap,chalcogenide,1,20260725,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,False,,0.0,,,0.8195574395888242,0.0,,,-9.167237383455364e-05,0.6166596588700235,0.7784226646791614
expt_gap,chalcogenide,1,20260725,31bb5a7b5243bd63,equal_rank_hybrid,0.5,2548,637,1419,True,0.6828885400313971,0.858712715855573,0.42814377964050426,0.4876298740258659,0.8195574395888242,0.15785764622973925,0.7656290857290309,0.2656290857290309,-0.025909498319503635,0.3010144291343756,0.7991261475308042
expt_gap,chalcogenide,2,20260726,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,0.8241772716894028,0.9591836734693877,0.4333728266083248,0.4904836397520742,0.8090259539153746,0.9978858350951374,0.8102425483699605,0.31024254836996046,0.1300961507300286,0.13253073259763792,0.7369788393332568
expt_gap,chalcogenide,2,20260726,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,False,,0.0,,,0.8090259539153746,0.0,,,-0.0015767287669596498,0.5236918711682127,0.7598520848853272
expt_gap,chalcogenide,2,20260726,31bb5a7b5243bd63,equal_rank_hybrid,0.5,2548,637,1419,True,0.8202511773940346,0.9591836734693877,0.43789392819860756,0.49555799245166954,0.8090259539153746,0.5503875968992248,0.8099129205842507,0.3099129205842507,0.06261195928471798,0.23616216895082282,0.7307270816651754
expt_gap,chalcogenide,3,20260727,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,1.6635579649606727,1.0,0.43664481908409747,0.48802944788669433,0.8165644912834105,1.0,0.8165644912834105,0.31656449128341047,0.12907633255514311,0.12038182740978093,0.7495995713932195
expt_gap,chalcogenide,3,20260727,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,True,9.852217123539003,1.0,0.43664481908409747,0.4900558029340366,0.8165644912834105,0.8731501057082452,0.8224625894460096,0.3224625894460096,-0.028030459063791344,0.5518217231461411,0.7800231923793248
expt_gap,chalcogenide,3,20260727,31bb5a7b5243bd63,equal_rank_hybrid,0.5,2548,637,1419,True,0.9701726844583987,1.0,0.43664481908409736,0.48682090228531627,0.8165644912834105,0.9978858350951374,0.8162827371534217,0.3162827371534217,0.056663562559139,0.23582892634386265,0.7432659423515351
expt_gap,chalcogenide,4,20260728,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,0.7584438013486372,0.9387755102040817,0.43574538510080335,0.4883741851146655,0.8007474181559063,1.0,0.8007474181559063,0.30074741815590633,0.06451926518458437,0.13470531141440714,0.765900725766822
expt_gap,chalcogenide,4,20260728,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,False,,0.0,,,0.8007474181559063,0.0,,,0.004198841825425368,0.6311007193812235,0.7476141140966989
expt_gap,chalcogenide,4,20260728,31bb5a7b5243bd63,equal_rank_hybrid,0.5,2548,637,1419,True,0.6985871271585558,0.8791208791208791,0.4342389254606706,0.48886295296608584,0.8007474181559063,0.17829457364341086,0.7593042583203213,0.25930425832032133,0.04105542488788182,0.2755519677609676,0.7598180786951432
expt_gap,chalcogenide,5,20260729,31bb5a7b5243bd63,ensemble_std,0.5,2548,637,1419,True,1.3351812883246723,0.9795918367346939,0.45134204399218575,0.49585704743581943,0.8478880020370526,0.9985905567300916,0.8462941563338324,0.3462941563338324,-0.17055641638161934,0.12898141300609828,0.9340809859758077
expt_gap,chalcogenide,5,20260729,31bb5a7b5243bd63,descriptor_distance,0.5,2548,637,1419,False,,0.0,,,0.8478880020370526,0.0,,,-0.029666181524603735,0.6048337333018321,0.8007781111511076
