task,holdout_family,repeat,policy,coverage,ood_risk
expt_gap,chalcogenide,2,ensemble_std,0.8005637773079634,0.7572916839411546
expt_gap,chalcogenide,2,ensemble_std,0.9006342494714588,0.794775121857441
expt_gap,chalcogenide,2,ensemble_std,1.0,0.8090259539153746
expt_gap,chalcogenide,2,descriptor_distance,0.10007047216349542,0.6005532306031082
expt_gap,chalcogenide,2,descriptor_distance,0.20014094432699084,0.6917499795791002
expt_gap,chalcogenide,2,descriptor_distance,0.30021141649048627,0.7944877114303615
expt_gap,chalcogenide,2,descriptor_distance,0.4002818886539817,0.8390052218331857
expt_gap,chalcogenide,2,descriptor_distance,0.5003523608174771,0.8436623808341744
expt_gap,chalcogenide,2,descriptor_distance,0.6004228329809725,0.836196081344658
expt_gap,chalcogenide,2,descriptor_distance,0.700493305144468,0.8275851492845467
expt_gap,chalcogenide,2,descriptor_distance,0.8005637773079634,0.8188986938058497
expt_gap,chalcogenide,2,descriptor_distance,0.9006342494714588,0.8105393977102996
expt_gap,chalcogenide,2,descriptor_distance,1.0,0.8090259539153759
expt_gap,chalcogenide,2,equal_rank_hybrid,0.10007047216349542,0.5386664765171294
expt_gap,chalcogenide,2,equal_rank_hybrid,0.20014094432699084,0.6904487347119351
expt_gap,chalcogenide,2,equal_rank_hybrid,0.30021141649048627,0.7575103627928431
expt_gap,chalcogenide,2,equal_rank_hybrid,0.4002818886539817,0.7929637341026414
expt_gap,chalcogenide,2,equal_rank_hybrid,0.5003523608174771,0.8079699107085959
expt_gap,chalcogenide,2,equal_rank_hybrid,0.6004228329809725,0.815860420197783
expt_gap,chalcogenide,2,equal_rank_hybrid,0.700493305144468,0.8076322576753167
expt_gap,chalcogenide,2,equal_rank_hybrid,0.8005637773079634,0.7891447241252584
expt_gap,chalcogenide,2,equal_rank_hybrid,0.9006342494714588,0.7919930205519538
expt_gap,chalcogenide,2,equal_rank_hybrid,1.0,0.8090259539153745
expt_gap,chalcogenide,3,ensemble_std,0.10007047216349542,0.7443237453652242
expt_gap,chalcogenide,3,ensemble_std,0.20014094432699084,0.7178579168894232
expt_gap,chalcogenide,3,ensemble_std,0.30021141649048627,0.7381802594536229
expt_gap,chalcogenide,3,ensemble_std,0.4002818886539817,0.754459443291804
expt_gap,chalcogenide,3,ensemble_std,0.5003523608174771,0.7584889222676795
expt_gap,chalcogenide,3,ensemble_std,0.6004228329809725,0.7497975497203287
expt_gap,chalcogenide,3,ensemble_std,0.700493305144468,0.7176613197982836
expt_gap,chalcogenide,3,ensemble_std,0.8005637773079634,0.725893690264937
expt_gap,chalcogenide,3,ensemble_std,0.9006342494714588,0.7945033451806073
expt_gap,chalcogenide,3,ensemble_std,1.0,0.8165644912834102
expt_gap,chalcogenide,3,descriptor_distance,0.10007047216349542,0.6845996410514371
expt_gap,chalcogenide,3,descriptor_distance,0.20014094432699084,0.7266942463717818
expt_gap,chalcogenide,3,descriptor_distance,0.30021141649048627,0.802790726854165
expt_gap,chalcogenide,3,descriptor_distance,0.4002818886539817,0.8454751963153244
expt_gap,chalcogenide,3,descriptor_distance,0.5003523608174771,0.84334151795291
expt_gap,chalcogenide,3,descriptor_distance,0.6004228329809725,0.8534311580881648
expt_gap,chalcogenide,3,descriptor_distance,0.700493305144468,0.8420474589254519
expt_gap,chalcogenide,3,descriptor_distance,0.8005637773079634,0.8287721572748075
expt_gap,chalcogenide,3,descriptor_distance,0.9006342494714588,0.8237837955519407
expt_gap,chalcogenide,3,descriptor_distance,1.0,0.8165644912834107
expt_gap,chalcogenide,3,equal_rank_hybrid,0.10007047216349542,0.650892233097986
expt_gap,chalcogenide,3,equal_rank_hybrid,0.20014094432699084,0.7489389575543294
expt_gap,chalcogenide,3,equal_rank_hybrid,0.30021141649048627,0.7812600790607633
expt_gap,chalcogenide,3,equal_rank_hybrid,0.4002818886539817,0.7703783135524412
expt_gap,chalcogenide,3,equal_rank_hybrid,0.5003523608174771,0.7889129913691452
expt_gap,chalcogenide,3,equal_rank_hybrid,0.6004228329809725,0.783251368905766
expt_gap,chalcogenide,3,equal_rank_hybrid,0.700493305144468,0.8024187700039443
expt_gap,chalcogenide,3,equal_rank_hybrid,0.8005637773079634,0.7994607755743607
expt_gap,chalcogenide,3,equal_rank_hybrid,0.9006342494714588,0.7884769688284662
expt_gap,chalcogenide,3,equal_rank_hybrid,1.0,0.8165644912834095
expt_gap,chalcogenide,4,ensemble_std,0.10007047216349542,0.6493181832800615
expt_gap,chalcogenide,4,ensemble_std,0.20014094432699084,0.6527274372176749
expt_gap,chalcogenide,4,ensemble_std,0.30021141649048627,0.6889637161702622
expt_gap,chalcogenide,4,ensemble_std,0.4002818886539817,0.7872439394599354
expt_gap,chalcogenide,4,ensemble_std,0.5003523608174771,0.8421814806840597
expt_gap,chalcogenide,4,ensemble_std,0.6004228329809725,0.8387457553931582
expt_gap,chalcogenide,4,ensemble_std,0.700493305144468,0.8326817021297747
expt_gap,chalcogenide,4,ensemble_std,0.8005637773079634,0.8116027915921596
expt_gap,chalcogenide,4,ensemble_std,0.9006342494714588,0.8036964831811801
expt_gap,chalcogenide,4,ensemble_std,1.0,0.8007474181559077
expt_gap,chalcogenide,4,descriptor_distance,0.10007047216349542,0.6272463987609163
expt_gap,chalcogenide,4,descriptor_distance,0.20014094432699084,0.6753240876874271
expt_gap,chalcogenide,4,descriptor_distance,0.30021141649048627,0.7688427618779413
expt_gap,chalcogenide,4,descriptor_distance,0.4002818886539817,0.8168339275766666
expt_gap,chalcogenide,4,descriptor_distance,0.5003523608174771,0.811096514015799
expt_gap,chalcogenide,4,descriptor_distance,0.6004228329809725,0.81245901321926
expt_gap,chalcogenide,4,descriptor_distance,0.700493305144468,0.8021787075597845
expt_gap,chalcogenide,4,descriptor_distance,0.8005637773079634,0.8031057964052877
expt_gap,chalcogenide,4,descriptor_distance,0.9006342494714588,0.8027889037356513
expt_gap,chalcogenide,4,descriptor_distance,1.0,0.8007474181559058
expt_gap,chalcogenide,4,equal_rank_hybrid,0.10007047216349542,0.6219338585839572
expt_gap,chalcogenide,4,equal_rank_hybrid,0.20014094432699084,0.7758298421503449
expt_gap,chalcogenide,4,equal_rank_hybrid,0.30021141649048627,0.7976154195563184
expt_gap,chalcogenide,4,equal_rank_hybrid,0.4002818886539817,0.8108504464819255
expt_gap,chalcogenide,4,equal_rank_hybrid,0.5003523608174771,0.8081329578551663
expt_gap,chalcogenide,4,equal_rank_hybrid,0.6004228329809725,0.8039976301321872
expt_gap,chalcogenide,4,equal_rank_hybrid,0.700493305144468,0.7953624813271718
expt_gap,chalcogenide,4,equal_rank_hybrid,0.8005637773079634,0.8010230903677541
expt_gap,chalcogenide,4,equal_rank_hybrid,0.9006342494714588,0.7920246114167829
expt_gap,chalcogenide,4,equal_rank_hybrid,1.0,0.8007474181559063
expt_gap,chalcogenide,5,ensemble_std,0.10007047216349542,0.9933819245422235
expt_gap,chalcogenide,5,ensemble_std,0.20014094432699084,0.9243630816968255
expt_gap,chalcogenide,5,ensemble_std,0.30021141649048627,0.9164169722572105
expt_gap,chalcogenide,5,ensemble_std,0.4002818886539817,0.9141238967538291
expt_gap,chalcogenide,5,ensemble_std,0.5003523608174771,0.9570055402433287
expt_gap,chalcogenide,5,ensemble_std,0.6004228329809725,0.9755346103726114
expt_gap,chalcogenide,5,ensemble_std,0.700493305144468,0.9412484968940091
expt_gap,chalcogenide,5,ensemble_std,0.8005637773079634,0.89191816759307
expt_gap,chalcogenide,5,ensemble_std,0.9006342494714588,0.8726894186418984
expt_gap,chalcogenide,5,ensemble_std,1.0,0.8478880020370532
expt_gap,chalcogenide,5,descriptor_distance,0.10007047216349542,0.6829132412280428
expt_gap,chalcogenide,5,descriptor_distance,0.20014094432699084,0.7283807927283411
expt_gap,chalcogenide,5,descriptor_distance,0.30021141649048627,0.8450738883543698
expt_gap,chalcogenide,5,descriptor_distance,0.4002818886539817,0.8770073018151852
expt_gap,chalcogenide,5,descriptor_distance,0.5003523608174771,0.8781697835892182
expt_gap,chalcogenide,5,descriptor_distance,0.6004228329809725,0.8712637300606582
expt_gap,chalcogenide,5,descriptor_distance,0.700493305144468,0.8733210175451553
expt_gap,chalcogenide,5,descriptor_distance,0.8005637773079634,0.8552965040836717
expt_gap,chalcogenide,5,descriptor_distance,0.9006342494714588,0.8531418842777887
expt_gap,chalcogenide,5,descriptor_distance,1.0,0.8478880020370522
expt_gap,chalcogenide,5,equal_rank_hybrid,0.10007047216349542,0.7543772091199905
expt_gap,chalcogenide,5,equal_rank_hybrid,0.20014094432699084,0.797621966415357
expt_gap,chalcogenide,5,equal_rank_hybrid,0.30021141649048627,0.8605690272850803
expt_gap,chalcogenide,5,equal_rank_hybrid,0.4002818886539817,0.8791191985396549
expt_gap,chalcogenide,5,equal_rank_hybrid,0.5003523608174771,0.8865274035433692
expt_gap,chalcogenide,5,equal_rank_hybrid,0.6004228329809725,0.895170328005999
expt_gap,chalcogenide,5,equal_rank_hybrid,0.700493305144468,0.915138340360262
expt_gap,chalcogenide,5,equal_rank_hybrid,0.8005637773079634,0.9055931131101898
expt_gap,chalcogenide,5,equal_rank_hybrid,0.9006342494714588,0.8651802424847987
expt_gap,chalcogenide,5,equal_rank_hybrid,1.0,0.8478880020370521
expt_gap,chalcogenide,6,ensemble_std,0.10007047216349542,1.127105400429969
expt_gap,chalcogenide,6,ensemble_std,0.20014094432699084,1.127631690971692
expt_gap,chalcogenide,6,ensemble_std,0.30021141649048627,1.0996656361191406
expt_gap,chalcogenide,6,ensemble_std,0.4002818886539817,1.0420172026789853
expt_gap,chalcogenide,6,ensemble_std,0.5003523608174771,0.9805363175359568
expt_gap,chalcogenide,6,ensemble_std,0.6004228329809725,0.9406221040444058
expt_gap,chalcogenide,6,ensemble_std,0.700493305144468,0.9149819643178623
expt_gap,chalcogenide,6,ensemble_std,0.8005637773079634,0.8690273468983591
expt_gap,chalcogenide,6,ensemble_std,0.9006342494714588,0.8490430200103656
expt_gap,chalcogenide,6,ensemble_std,1.0,0.8408850591479714
expt_gap,chalcogenide,6,descriptor_distance,0.10007047216349542,0.6285722054650396
expt_gap,chalcogenide,6,descriptor_distance,0.20014094432699084,0.7081139060049034
expt_gap,chalcogenide,6,descriptor_distance,0.30021141649048627,0.8227103154928423
expt_gap,chalcogenide,6,descriptor_distance,0.4002818886539817,0.8597997959138318
expt_gap,chalcogenide,6,descriptor_distance,0.5003523608174771,0.8712680657997296
expt_gap,chalcogenide,6,descriptor_distance,0.6004228329809725,0.8786284998827956
expt_gap,chalcogenide,6,descriptor_distance,0.700493305144468,0.8707898536551343
expt_gap,chalcogenide,6,descriptor_distance,0.8005637773079634,0.8581954435390412
expt_gap,chalcogenide,6,descriptor_distance,0.9006342494714588,0.8474955400111231
expt_gap,chalcogenide,6,descriptor_distance,1.0,0.8408850591479733
expt_gap,chalcogenide,6,equal_rank_hybrid,0.10007047216349542,0.6394546067316133
expt_gap,chalcogenide,6,equal_rank_hybrid,0.20014094432699084,0.8011038196925455
expt_gap,chalcogenide,6,equal_rank_hybrid,0.30021141649048627,0.8774116305901081
expt_gap,chalcogenide,6,equal_rank_hybrid,0.4002818886539817,0.93423787311462
expt_gap,chalcogenide,6,equal_rank_hybrid,0.5003523608174771,0.9516772681356094
expt_gap,chalcogenide,6,equal_rank_hybrid,0.6004228329809725,0.9388704019900637
expt_gap,chalcogenide,6,equal_rank_hybrid,0.700493305144468,0.9127898017210702
