task,shift_type,holdout,repeat,seed,policy,epsilon,primary_tolerance,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,risk_breach,coverage_failure,operational_failure,ood_spearman,ood_aurc,ood_excess_aurc,shift_median_distance,shift_p90_distance,fraction_beyond_train_p99,element_novelty_fraction
expt_gap,element,O,0,20260724,rf_ensemble_std,0.3,False,True,0.8392603129445235,0.292459336322813,0.844954128440367,1.432952390629429,1.132952390629429,True,False,True,0.4474715302010246,1.1654492796673863,0.7859987833098703,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_ensemble_std,0.4,False,True,0.9587482219061166,0.3947336828168816,0.9587155963302753,1.476432484316456,1.076432484316456,True,False,True,0.4474715302010246,1.1654492796673863,0.7859987833098703,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_ensemble_std,0.5,True,True,1.0,0.4740582053428265,1.0,1.493458523777982,0.993458523777982,True,False,True,0.4474715302010246,1.1654492796673863,0.7859987833098703,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_ensemble_std,0.6,False,True,1.0,0.4740582053428265,1.0,1.493458523777982,0.8934585237779821,True,False,True,0.4474715302010246,1.1654492796673863,0.7859987833098703,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_ensemble_std,0.7,False,True,1.0,0.4740582053428265,1.0,1.493458523777982,0.7934585237779821,True,False,True,0.4474715302010246,1.1654492796673863,0.7859987833098703,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,quantile_width,0.3,False,True,0.6002844950213371,0.2900165876777251,0.944954128440367,1.523864077669903,1.223864077669903,True,False,True,0.2014578381739071,1.161212483523678,0.8467504228944813,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,quantile_width,0.4,False,True,0.6600284495021337,0.3948644312765323,0.9577981651376148,1.5303065134099618,1.1303065134099617,True,False,True,0.2014578381739071,1.161212483523678,0.8467504228944813,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,quantile_width,0.5,True,True,0.6998577524893315,0.4544443519944364,0.9706422018348624,1.54351606805293,1.04351606805293,True,False,True,0.2014578381739071,1.161212483523678,0.8467504228944813,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,quantile_width,0.6,False,True,0.7795163584637269,0.5927578925850584,0.9825688073394496,1.5593090569561157,0.9593090569561156,True,False,True,0.2014578381739071,1.161212483523678,0.8467504228944813,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,quantile_width,0.7,False,True,0.8193456614509246,0.6974593458140766,0.989908256880734,1.5550602409638552,0.8550602409638552,True,False,True,0.2014578381739071,1.161212483523678,0.8467504228944813,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,descriptor_distance,0.3,False,False,0.0,,0.0,,,,False,False,-0.0551778013413387,1.517739745653463,1.1382892492959469,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,descriptor_distance,0.4,False,True,0.2802275960170697,0.3963710456226492,0.0119266055045871,1.1004241863691862,0.7004241863691861,True,True,True,-0.0551778013413387,1.517739745653463,1.1382892492959469,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,descriptor_distance,0.5,True,True,1.0,0.466922518981517,1.0,1.493458523777982,0.993458523777982,True,False,True,-0.0551778013413387,1.517739745653463,1.1382892492959469,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,descriptor_distance,0.6,False,True,1.0,0.466922518981517,1.0,1.493458523777982,0.8934585237779821,True,False,True,-0.0551778013413387,1.517739745653463,1.1382892492959469,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,descriptor_distance,0.7,False,True,1.0,0.466922518981517,1.0,1.493458523777982,0.7934585237779821,True,False,True,-0.0551778013413387,1.517739745653463,1.1382892492959469,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_distance_hybrid,0.3,False,True,0.8193456614509246,0.2983030221618391,0.6623853211009174,1.2697865680252751,0.9697865680252752,True,False,True,0.3799831223900877,1.2899171251649526,0.9104666288074366,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_distance_hybrid,0.4,False,True,0.9587482219061166,0.3857374292187433,0.9376146788990826,1.4634368037896293,1.0634368037896291,True,False,True,0.3799831223900877,1.2899171251649526,0.9104666288074366,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_distance_hybrid,0.5,True,True,1.0,0.4725278187554653,1.0,1.493458523777982,0.993458523777982,True,False,True,0.3799831223900877,1.2899171251649526,0.9104666288074366,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_distance_hybrid,0.6,False,True,1.0,0.4725278187554653,1.0,1.493458523777982,0.8934585237779821,True,False,True,0.3799831223900877,1.2899171251649526,0.9104666288074366,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,rf_distance_hybrid,0.7,False,True,1.0,0.4725278187554653,1.0,1.493458523777982,0.7934585237779821,True,False,True,0.3799831223900877,1.2899171251649526,0.9104666288074366,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,random_ranking,0.3,False,False,0.0,,0.0,,,,False,False,-0.0051668548451683,1.519449963328411,1.139999466970895,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,random_ranking,0.4,False,False,0.0,,0.0,,,,False,False,-0.0051668548451683,1.519449963328411,1.139999466970895,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,random_ranking,0.5,True,True,1.0,0.4588760035418365,1.0,1.493458523777982,0.993458523777982,True,False,True,-0.0051668548451683,1.519449963328411,1.139999466970895,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,random_ranking,0.6,False,True,1.0,0.4588760035418365,1.0,1.493458523777982,0.8934585237779821,True,False,True,-0.0051668548451683,1.519449963328411,1.139999466970895,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,random_ranking,0.7,False,True,1.0,0.4588760035418365,1.0,1.493458523777982,0.7934585237779821,True,False,True,-0.0051668548451683,1.519449963328411,1.139999466970895,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,oracle_error,0.3,False,True,0.918918918918919,0.2762856653284634,0.5779816513761468,0.2766028020659652,-0.0233971979340347,False,False,False,0.9999999999999998,0.379450496357516,0.0,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,oracle_error,0.4,False,True,0.9786628733997156,0.3687055987316368,0.7055045871559633,0.5579401997069924,0.1579401997069923,True,False,True,0.9999999999999998,0.379450496357516,0.0,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,oracle_error,0.5,True,True,1.0,0.4609832304285892,0.9990825688073396,1.4853020914459751,0.9853020914459752,True,False,True,0.9999999999999998,0.379450496357516,0.0,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,oracle_error,0.6,False,True,1.0,0.4609832304285892,0.9990825688073396,1.4853020914459751,0.8853020914459752,True,False,True,0.9999999999999998,0.379450496357516,0.0,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,0,20260724,oracle_error,0.7,False,True,1.0,0.4609832304285892,0.9990825688073396,1.4853020914459751,0.7853020914459752,True,False,True,0.9999999999999998,0.379450496357516,0.0,4.140296167726285,5.435903261829767,0.0,1.0
expt_gap,element,O,2,20260726,rf_ensemble_std,0.3,False,True,0.89900426742532,0.2994254957718434,0.946788990825688,1.484245969045965,1.184245969045965,True,False,True,0.4277539380218342,1.1249193642979307,0.7583476688850085,4.164053014644758,5.312570394389778,0.0,1.0
expt_gap,element,O,2,20260726,rf_ensemble_std,0.4,False,True,0.9786628733997156,0.3536037936087852,0.9944954128440368,1.4867300376813222,1.0867300376813225,True,False,True,0.4277539380218342,1.1249193642979307,0.7583476688850085,4.164053014644758,5.312570394389778,0.0,1.0
expt_gap,element,O,2,20260726,rf_ensemble_std,0.5,True,True,1.0,0.4017878462831755,1.0,1.4895349514426042,0.9895349514426042,True,False,True,0.4277539380218342,1.1249193642979307,0.7583476688850085,4.164053014644758,5.312570394389778,0.0,1.0
expt_gap,element,O,2,20260726,rf_ensemble_std,0.6,False,True,1.0,0.4017878462831755,1.0,1.4895349514426042,0.8895349514426042,True,False,True,0.4277539380218342,1.1249193642979307,0.7583476688850085,4.164053014644758,5.312570394389778,0.0,1.0
expt_gap,element,O,2,20260726,rf_ensemble_std,0.7,False,True,1.0,0.4017878462831755,1.0,1.4895349514426042,0.7895349514426042,True,False,True,0.4277539380218342,1.1249193642979307,0.7583476688850085,4.164053014644758,5.312570394389778,0.0,1.0
