task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
expt_gap,cluster,C0,0,descriptor_distance,0.5,2.1907195048010526,2.08957898138579,2.270237572154979,1.58957898138579,1.7702375721549788,1118,1118
expt_gap,cluster,C0,0,quantile_width,0.5,0.5333333333333333,0.31748387096774194,0.769021505376344,-0.18251612903225806,0.26902150537634395,93,93
expt_gap,cluster,C0,0,rf_distance_hybrid,0.5,2.192969426598816,2.1043387710276376,2.2785120229999407,1.6043387710276376,1.7785120229999407,1152,1152
expt_gap,cluster,C0,0,rf_ensemble_std,0.5,2.1962368974657895,2.124491384304697,2.2747935607493717,1.6244913843046969,1.7747935607493717,1153,1153
expt_gap,cluster,C0,1,descriptor_distance,0.5,2.267149410859988,2.1979895713875757,2.359659264010638,1.6979895713875757,1.859659264010638,1128,1128
expt_gap,cluster,C0,1,quantile_width,0.5,0.8297222222222222,0.5651481481481481,1.1003703703703704,0.06514814814814807,0.6003703703703704,108,108
expt_gap,cluster,C0,1,rf_distance_hybrid,0.5,2.262602561038521,2.1805148429295325,2.342057435248791,1.6805148429295325,1.8420574352487908,1148,1148
expt_gap,cluster,C0,1,rf_ensemble_std,0.5,2.2628907662669744,2.187956497080708,2.3431034222015295,1.687956497080708,1.8431034222015295,1152,1152
expt_gap,cluster,C0,2,descriptor_distance,0.5,2.3749299136815702,2.284401299441133,2.4640023979628736,1.7844012994411331,1.9640023979628736,1142,1142
expt_gap,cluster,C0,2,quantile_width,0.5,0.7249056603773585,0.4945731132075472,1.0676981132075472,-0.00542688679245279,0.5676981132075472,106,106
expt_gap,cluster,C0,2,rf_distance_hybrid,0.5,2.3614315279948457,2.2716278212722467,2.4486176535144115,1.7716278212722467,1.9486176535144115,1114,1114
expt_gap,cluster,C0,2,rf_ensemble_std,0.5,2.371406741099082,2.284330873056696,2.4656662457318936,1.784330873056696,1.9656662457318936,1152,1152
expt_gap,cluster,C0,3,descriptor_distance,0.5,2.217801601215855,2.141027050196475,2.2994419477152173,1.6410270501964752,1.7994419477152173,1125,1125
expt_gap,cluster,C0,3,quantile_width,0.5,0.7782857142857142,0.5064428571428572,1.0793190476190475,0.006442857142857195,0.5793190476190475,105,105
expt_gap,cluster,C0,3,rf_distance_hybrid,0.5,2.2275427182042544,2.1387706626464986,2.3049878009752116,1.6387706626464986,1.8049878009752116,1152,1152
expt_gap,cluster,C0,3,rf_ensemble_std,0.5,2.230999509785392,2.1479712244947984,2.3168765076799818,1.6479712244947984,1.8168765076799818,1153,1153
expt_gap,cluster,C0,4,descriptor_distance,0.5,2.2785657190235407,2.1988780891515094,2.362636876138993,1.6988780891515094,1.862636876138993,1115,1115
expt_gap,cluster,C0,4,quantile_width,0.5,0.6891304347826087,0.4577391304347827,0.9288016304347826,-0.042260869565217296,0.4288016304347826,92,92
expt_gap,cluster,C0,4,rf_distance_hybrid,0.5,2.2100528728328466,2.115832086079126,2.3022037663573296,1.6158320860791262,1.8022037663573296,879,879
expt_gap,cluster,C0,4,rf_ensemble_std,0.5,2.2915928764851445,2.221573391854942,2.370146260759538,1.721573391854942,1.870146260759538,1153,1153
expt_gap,cluster,C0,5,descriptor_distance,0.5,2.0792981661093015,2.0008378429448497,2.149332759181561,1.5008378429448497,1.649332759181561,1135,1135
expt_gap,cluster,C0,5,quantile_width,0.5,0.8284,0.5785125,1.1336600000000001,0.07851249999999999,0.6336600000000001,100,100
expt_gap,cluster,C0,5,rf_distance_hybrid,0.5,2.075988290850647,2.0086420357246855,2.162949466971408,1.5086420357246855,1.662949466971408,1153,1153
expt_gap,cluster,C0,5,rf_ensemble_std,0.5,2.0725064662367747,2.0014555944091175,2.1432645586164463,1.5014555944091175,1.6432645586164463,1152,1152
expt_gap,cluster,C0,6,descriptor_distance,0.5,2.146214940053308,2.056905000927372,2.2167137784170476,1.556905000927372,1.7167137784170476,1145,1145
expt_gap,cluster,C0,6,quantile_width,0.5,0.8257522123893806,0.5786283185840708,1.1320530973451328,0.07862831858407082,0.6320530973451328,113,113
expt_gap,cluster,C0,6,rf_distance_hybrid,0.5,2.1485916497015163,2.0652950432053654,2.2216946209967103,1.5652950432053654,1.7216946209967103,1153,1153
expt_gap,cluster,C0,6,rf_ensemble_std,0.5,2.1485916497015163,2.0806296229029804,2.239019660693969,1.5806296229029804,1.7390196606939692,1153,1153
expt_gap,cluster,C0,7,descriptor_distance,0.5,2.302138633084156,2.2106498489818156,2.381764534215522,1.7106498489818156,1.881764534215522,1117,1117
expt_gap,cluster,C0,7,quantile_width,0.5,0.7981372549019609,0.5615539215686275,1.1264240196078432,0.06155392156862749,0.6264240196078432,102,102
expt_gap,cluster,C0,7,rf_distance_hybrid,0.5,2.3045924632340897,2.2210140757286765,2.390998968412897,1.7210140757286765,1.8909989684128972,1150,1150
expt_gap,cluster,C0,7,rf_ensemble_std,0.5,2.3057864524613527,2.2261827370437435,2.3883112037393426,1.7261827370437435,1.8883112037393426,1147,1147
expt_gap,cluster,C0,8,descriptor_distance,0.5,2.2126243899476776,2.1165409502813324,2.3028134112196157,1.6165409502813324,1.8028134112196157,1136,1136
expt_gap,cluster,C0,8,quantile_width,0.5,0.8404132231404958,0.5764111570247934,1.1230227272727271,0.0764111570247934,0.6230227272727271,121,121
expt_gap,cluster,C0,8,rf_distance_hybrid,0.5,2.2172393917232087,2.1446078619879883,2.2959968049426873,1.6446078619879883,1.7959968049426873,1153,1153
expt_gap,cluster,C0,8,rf_ensemble_std,0.5,2.218266071155284,2.124152197525745,2.2885808206297322,1.6241521975257451,1.7885808206297322,1150,1150
