task,holdout_family,model,policy,n_train,n_calibration,n_ood,epsilon,ood_mae_all,ood_rmse_all,policy_constructed,threshold,calibration_coverage,calibration_mae,ood_coverage,ood_retained_mae,risk_violation
expt_gap,chalcogenide,ridge,none,2548,637,1419,0.5,1.3722812409907803,1.7689557913538945,,,,,,,
expt_gap,chalcogenide,random_forest,ensemble_std,2548,637,1419,0.5,0.7811023426694699,0.9969623124330091,True,2.6956827346723045,1.0,0.4765237317750381,1.0,0.7811023426694699,0.2811023426694699
expt_gap,chalcogenide,random_forest,descriptor_distance,2548,637,1419,0.5,0.7811023426694699,0.9969623124330091,True,11.586867192042845,1.0,0.4765237317750381,0.8914728682170543,0.8113720442536789,0.3113720442536789
expt_gap,chalcogenide,random_forest,equal_rank_hybrid,2548,637,1419,0.5,0.7811023426694699,0.9969623124330091,True,0.9960753532182103,1.0,0.4765237317750382,1.0,0.7811023426694699,0.2811023426694699
expt_gap,other,ridge,none,2570,642,1392,0.5,1.0309150715887616,1.4630347931353587,,,,,,,
expt_gap,other,random_forest,ensemble_std,2570,642,1392,0.5,0.8004493886084664,1.0821420431403166,True,1.2275472491905008,0.8722741433021807,0.4998298127389736,0.8304597701149425,0.5847105496958733,0.08471054969587333
expt_gap,other,random_forest,descriptor_distance,2570,642,1392,0.5,0.8004493886084664,1.0821420431403166,True,3.0048983684476456,0.5077881619937694,0.4976763292258227,0.0021551724137931034,1.6565468157768173,1.1565468157768173
expt_gap,other,random_forest,equal_rank_hybrid,2570,642,1392,0.5,0.8004493886084664,1.0821420431403166,True,0.6970404984423676,0.8052959501557633,0.499202657001052,0.17744252873563218,0.20558823982986046,-0.29441176017013954
expt_gap,oxide,ridge,none,2811,703,1090,0.5,1.5386804363211082,2.061560724989996,,,,,,,
expt_gap,oxide,random_forest,ensemble_std,2811,703,1090,0.5,1.4776776458049143,2.2615214646813495,True,3.692819515878032,1.0,0.3479147137577021,0.9963302752293578,1.473998917647037,0.9739989176470369
expt_gap,oxide,random_forest,descriptor_distance,2811,703,1090,0.5,1.4776776458049143,2.2615214646813495,True,11.496688639638462,1.0,0.3479147137577021,1.0,1.4776776458049143,0.9776776458049143
expt_gap,oxide,random_forest,equal_rank_hybrid,2811,703,1090,0.5,1.4776776458049143,2.2615214646813495,True,0.9893314366998578,1.0,0.34791471375770217,1.0,1.4776776458049143,0.9776776458049143
