task,shift_type,holdout,repeat,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,shift_median_distance,threshold
expt_gap,element,O,0,rf_ensemble_std,0.5,2811,703,1090,True,1.0,0.4703212021867065,1.0,1.490381174558739,0.990381174558739,0.4245221744471985,4.140296167726285,2.0933068647507773
expt_gap,element,O,0,quantile_width,0.5,2811,703,1090,True,0.7197724039829303,0.49630153931909776,0.9724770642201835,1.5456886792452829,1.0456886792452829,0.2004769693860323,4.140296167726285,2.294774207518591
expt_gap,element,O,0,descriptor_distance,0.5,2811,703,1090,True,1.0,0.4626052882994914,1.0,1.490381174558739,0.990381174558739,-0.055128633052759,4.140296167726285,11.660809280799555
expt_gap,element,O,0,rf_distance_hybrid,0.5,2811,703,1090,True,1.0,0.4690922041153048,1.0,1.490381174558739,0.990381174558739,0.3520432461767266,4.140296167726285,0.9765291607396871
expt_gap,element,O,1,rf_ensemble_std,0.5,2811,703,1090,True,1.0,0.39868992195584485,1.0,1.4826447312697495,0.9826447312697495,0.470862809124414,4.134244401991241,2.535348062994484
expt_gap,element,O,1,quantile_width,0.5,2811,703,1090,True,0.7197724039829303,0.4547009411810745,0.9623853211009175,1.528169685414681,1.028169685414681,0.22992911956948814,4.134244401991241,2.253376874299714
expt_gap,element,O,1,descriptor_distance,0.5,2811,703,1090,True,1.0,0.3976478692478027,1.0,1.4826447312697495,0.9826447312697495,-0.06941588797943314,4.134244401991241,12.722354281315416
expt_gap,element,O,1,rf_distance_hybrid,0.5,2811,703,1090,True,1.0,0.3935480161788883,1.0,1.4826447312697495,0.9826447312697495,0.41404346727386954,4.134244401991241,0.9900426742532006
expt_gap,element,O,2,rf_ensemble_std,0.5,2811,703,1090,True,1.0,0.3985749930305811,1.0,1.4915373302766526,0.9915373302766526,0.4275927373955497,4.164053014644758,2.3774701054210876
expt_gap,element,O,2,quantile_width,0.5,2811,703,1090,True,0.7596017069701281,0.49399289759751525,0.9669724770642202,1.5297248576850093,1.0297248576850093,0.19167517390579528,4.164053014644758,2.355080196307205
expt_gap,element,O,2,descriptor_distance,0.5,2811,703,1090,True,1.0,0.401897405151731,1.0,1.4915373302766526,0.9915373302766526,-0.10453018596683306,4.164053014644758,11.467408662185768
expt_gap,element,O,2,rf_distance_hybrid,0.5,2811,703,1090,True,1.0,0.3975277152149008,1.0,1.4915373302766526,0.9915373302766526,0.3696807579915511,4.164053014644758,0.9893314366998578
